,course_href,course_name,partner_title,stars,recent_views,num_ratings,num_reviews,description,outcome,highlight,length
0,/learn/exploratory-data-analysis,Exploratory Data Analysis,Johns Hopkins University,4.7,"108,049 recent views","5,836 ratings",845,This course covers the essential exploratory techniques for summarizing data. These techniques are typically applied before formal modeling commences and can help inform the development of more complex statistical models. Exploratory techniques are also important for eliminating or sharpening potential hypotheses about the world that can be addressed by the data. We will cover in detail the plotting systems in R as well as some of the basic principles of constructing data graphics. We will also cover some of the common multivariate statistical techniques used to visualize high-dimensional data.,"['38%started a new career after completing these courses', '15%got a pay increase or promotion', '38%got a tangible career benefit from this course']","['100% online', 'Shareable Certificate', 'Flexible deadlines', 'English']",Approx. 55 hours to complete
1,/learn/clinical-natural-language-processing,Clinical Natural Language Processing,University of Colorado System,3.5,"3,786 recent views",17 ratings,9,"This course teaches you the fundamentals of clinical natural language processing (NLP). In this course you will learn the basic linguistic principals underlying NLP, as well as how to write regular expressions and handle text data in R. You will also learn practical techniques for text processing to be able to extract information from clinical notes.  Finally, you will have a chance to put your skills to the test with a real-world practical application where you develop text processing algorithms to identify diabetic complications from clinical notes. You will complete this work using a free, online computational environment for data science hosted by our Industry Partner Google Cloud.",[],"['English', 'Course 4 of 6 in the', 'Shareable Certificate', 'Flexible deadlines', '100% online']",Approx. 12 hours to complete
2,/learn/machine-learning-with-python,Machine Learning with Python,IBM,4.7,"510,028 recent views","10,738 ratings",1813,"This course dives into the basics of machine learning using an approachable, and well-known programming language, Python. In this course, we will be reviewing two main components:
First, you will be learning about the purpose of Machine Learning and where it applies to the real world. 
Second, you will get a general overview of Machine Learning topics such as supervised vs unsupervised learning,  model evaluation, and Machine Learning algorithms. 

In this course, you practice with real-life examples of Machine learning and see how it affects society in ways you may not have guessed!

By just putting in a few hours a week for the next few weeks, this is what you’ll get.
1) New skills to add to your resume, such as regression, classification, clustering, sci-kit learn and SciPy 
2) New projects that you can add to your portfolio, including cancer detection, predicting economic trends, predicting customer churn, recommendation engines, and many more.
3) And a certificate in machine learning to prove your competency, and share it anywhere you like online or offline, such as LinkedIn profiles and social media.

If you choose to take this course and earn the Coursera course certificate, you will also earn an IBM digital badge upon successful completion of the course.","['17%got a pay increase or promotion', '21%got a tangible career benefit from this course', '13%started a new career after completing these courses']","['English', 'Intermediate Level', 'Shareable Certificate', 'Flexible deadlines', '100% online']",Approx. 22 hours to complete
3,/learn/material-informatics,Materials Data Sciences and Informatics,Georgia Institute of Technology,4.4,"9,147 recent views",256 ratings,72,"This course aims to provide a succinct overview of the emerging discipline of Materials Informatics at the intersection of materials science, computational science, and information science. Attention is drawn to specific opportunities afforded by this new field in accelerating materials development and deployment efforts. A particular emphasis is placed on materials exhibiting hierarchical internal structures spanning multiple length/structure scales and the impediments involved in establishing invertible process-structure-property (PSP) linkages for these materials. More specifically, it is argued that modern data sciences (including advanced statistics, dimensionality reduction, and formulation of metamodels) and innovative cyberinfrastructure tools (including integration platforms, databases, and customized tools for enhancement of collaborations among cross-disciplinary team members) are likely to play a critical and pivotal role in addressing the above challenges.",[],"['100% online', 'Shareable Certificate', 'Flexible deadlines', 'English']",Approx. 9 hours to complete
4,/learn/the-power-of-machine-learning,"The Power of Machine Learning: Boost Business, Accumulate Clicks, Fight Fraud, and Deny Deadbeats",SAS,4.8,"13,207 recent views",114 ratings,49,"It's the age of machine learning. Companies are seizing upon the power of this technology to combat risk, boost sales, cut costs, block fraud, streamline manufacturing, conquer spam, toughen crime fighting, and win elections.Want to tap that potential? It's best to start with a holistic, business-oriented course on machine learning – no matter whether you’re more on the tech or the business side. After all, successfully deploying machine learning relies on savvy business leadership just as much as it relies on technical skill. And for that reason, data scientists aren't the only ones who need to learn the fundamentals. Executives, decision makers, and line of business managers must also ramp up on how machine learning works and how it delivers business value.

And the reverse is true as well: Techies need to look beyond the number crunching itself and become deeply familiar with the business demands of machine learning. This way, both sides speak the same language and can collaborate effectively.

This course will prepare you to participate in the deployment of machine learning – whether you'll do so in the role of enterprise leader or quant. In order to serve both types, this course goes further than typical machine learning courses, which cover only the technical foundations and core quantitative techniques. This curriculum uniquely integrates both sides – both the business and tech know-how – that are essential for deploying machine learning. It covers:

– How launching machine learning – aka predictive analytics – improves marketing, financial services, fraud detection, and many other business operations

– A concrete yet accessible guide to predictive modeling methods, delving most deeply into decision trees

– Reporting on the predictive performance of machine learning and the profit it generates

– What your data needs to look like before applying machine learning

– Avoiding the hype and false promises of “artificial intelligence”

– AI ethics: social justice concerns, such as when predictive models blatantly discriminate by protected class

NO HANDS-ON AND NO HEAVY MATH. This concentrated entry-level program is totally accessible to business leaders – and yet totally vital to data scientists who want to secure their business relevance. It's for anyone who wishes to participate in the commercial deployment of machine learning, no matter whether you'll play a role on the business side or the technical side. This includes business professionals and decision makers of all kinds, such as executives, directors, line of business managers, and consultants – as well as data scientists.

BUT TECHNICAL LEARNERS SHOULD TAKE ANOTHER LOOK. Before jumping straight into the hands-on, as quants are inclined to do, consider one thing: This curriculum provides complementary know-how that all great techies also need to master. It contextualizes the core technology, guiding you on the end-to-end process required to successfully deploy a predictive model so that it delivers a business impact.

LIKE A UNIVERSITY COURSE. This course is also a good fit for college students, or for those planning for or currently enrolled in an MBA program. The breadth and depth of the overall three-course specialization is equivalent to one full-semester MBA or graduate-level course.

IN-DEPTH YET ACCESSIBLE. Brought to you by industry leader Eric Siegel – a winner of teaching awards when he was a professor at Columbia University – this curriculum stands out as one of the most thorough, engaging, and surprisingly accessible on the subject of machine learning.

VENDOR-NEUTRAL. This course includes illuminating software demos of machine learning in action using SAS products. However, the curriculum is vendor-neutral and universally-applicable. The contents and learning objectives apply, regardless of which machine learning software tools you end up choosing to work with.",[],"['English', 'Shareable Certificate', 'Flexible deadlines', 'Beginner Level', 'Course 1 of 3 in the', '100% online']",Approx. 14 hours to complete
5,/learn/ai-algorithm-limitations,Artificial Intelligence Algorithms Models and Limitations,LearnQuest,4.8,"8,736 recent views",56 ratings,19,"We live in an age increasingly dominated by algorithms. As machine learning models begin making important decisions based on massive datasets, we need to be aware of their limitations in the real world. Whether it's making loan decisions or re-routing traffic, machine learning models need to accurately reflect our shared values. In this course, we will explore the rise of algorithms, from the most basic to the fully-autonomous, and discuss how to make them more ethically sound.",[],"['English', 'Shareable Certificate', 'Course 1 of 4 in the', 'Flexible deadlines', '100% online']",Approx. 8 hours to complete
6,/learn/complete-reinforcement-learning-system,A Complete Reinforcement Learning System (Capstone),University of Alberta,4.7,"24,627 recent views",464 ratings,95,"In this final course, you will put together your knowledge from Courses 1, 2 and 3 to implement a complete RL solution to a problem. This capstone will let you see how each component---problem formulation, algorithm selection, parameter selection and representation design---fits together into a complete solution, and how to make appropriate choices when deploying RL in the real world. This project will require you to implement both the environment to stimulate your problem, and a control agent with Neural Network function approximation. In addition, you will conduct a scientific study of your learning system to develop your ability to assess the robustness of RL agents. To use RL in the real world, it is critical to (a) appropriately formalize the problem as an MDP, (b) select appropriate algorithms, (c ) identify what choices in your implementation will have large impacts on performance and (d) validate the expected behaviour of your algorithms. This capstone is valuable for anyone who is planning on using RL to solve real problems.To be successful in this course, you will need to have completed Courses 1, 2, and 3 of this Specialization or the equivalent.

By the end of this course, you will be able to: 

Complete an RL solution to a problem, starting from problem formulation, appropriate algorithm selection and implementation and empirical study into the effectiveness of the solution.",[],"['English', 'Intermediate Level', 'Shareable Certificate', 'Course 4 of 4 in the', 'Flexible deadlines', '100% online']",Approx. 23 hours to complete
7,/learn/intro-to-deep-learning,Introduction to Deep Learning,HSE University,4.6,"197,219 recent views","1,743 ratings",405,"The goal of this course is to give learners basic understanding of modern neural networks and their applications in computer vision and natural language understanding. The course starts with a recap of linear models and discussion of stochastic optimization methods that are crucial for training deep neural networks. Learners will study all popular building blocks of neural networks including fully connected layers, convolutional and recurrent layers. Learners will use these building blocks to define complex modern architectures in TensorFlow and Keras frameworks. In the course project learner will implement deep neural network for the task of image captioning which solves the problem of giving a text description for an input image.

The prerequisites for this course are: 
1) Basic knowledge of Python.
2) Basic linear algebra and probability.

Please note that this is an advanced course and we assume basic knowledge of machine learning. You should understand:
1) Linear regression: mean squared error, analytical solution.
2) Logistic regression: model, cross-entropy loss, class probability estimation.
3) Gradient descent for linear models. Derivatives of MSE and cross-entropy loss functions.
4) The problem of overfitting.
5) Regularization for linear models.

Do you have technical problems? Write to us: coursera@hse.ru","['29%started a new career after completing these courses', '20%got a pay increase or promotion', '34%got a tangible career benefit from this course']","['English', 'Shareable Certificate', 'Course 1 of 7 in the', 'Flexible deadlines', '100% online']",Approx. 34 hours to complete
8,/learn/precalculus-periodic-functions,Precalculus: Periodic Functions,Johns Hopkins University,4.8,"6,499 recent views",21 ratings,7,"This course helps to build the foundational material to use mathematics as a tool to model, understand, and interpret the world around us.  This is done through studying functions, their properties, and applications to data analysis.  Concepts of precalculus provide the set of tools for the beginning student to begin their scientific career, preparing them for future science and calculus courses. This course is designed for all students, not just those interested in further mathematics courses.  Students interested in the natural sciences, computer sciences, psychology, sociology, or similar will genuinely benefit from this introductory course, applying the skills learned to their discipline to analyze and interpret their subject material.  Students will be presented with not only new ideas, but also new applications of an old subject. Real-life data, exercise sets, and regular assessments help to motivate and reinforce the content in this course, leading to learning and mastery.",[],"['English', 'Shareable Certificate', 'Beginner Level', 'Course 2 of 3 in the', 'Flexible deadlines', '100% online']",Approx. 9 hours to complete
9,/learn/response-surfaces-mixtures-model-building,"Response Surfaces, Mixtures, and Model Building",Arizona State University,4.6,"7,269 recent views",38 ratings,11,"Factorial experiments are often used in factor screening.; that is, identify the subset of factors in a process or system that are of primary important to the response. Once the set of important factors are identified interest then usually turns to optimization; that is, what levels of the important factors produce the best values of the response.  This course provides design and optimization tools to answer that questions using the response surface framework.  Other related topics include design and analysis of computer experiments, experiments with mixtures, and experimental strategies to reduce the effect of uncontrollable factors on unwanted variability in the response.",[],"['English', 'Course 3 of 4 in the', 'Shareable Certificate', 'Flexible deadlines', '100% online']",Approx. 13 hours to complete
