,course_href,course_name,partner_title,stars,recent_views,num_ratings,num_reviews,description,length,100%_online,shareable_certificate,flexible_deadlines,english,intermediate_level,beginner_level,spanish,chinese_(traditional),arabic,portuguese_(brazilian),russian,advanced_level,chinese_(simplified),french,japanese,specialization,outcome_career_benefit,outcome_pay_increase,outcome_new_career,he_partner,enrollment
0,/learn/exploratory-data-analysis,Exploratory Data Analysis,Johns Hopkins University,4.7,108049,5836,845,This course covers the essential exploratory techniques for summarizing data. These techniques are typically applied before formal modeling commences and can help inform the development of more complex statistical models. Exploratory techniques are also important for eliminating or sharpening potential hypotheses about the world that can be addressed by the data. We will cover in detail the plotting systems in R as well as some of the basic principles of constructing data graphics. We will also cover some of the common multivariate statistical techniques used to visualize high-dimensional data.,55,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38.0,15.0,38.0,1,157581
1,/learn/clinical-natural-language-processing,Clinical Natural Language Processing,University of Colorado System,3.5,3786,17,9,"This course teaches you the fundamentals of clinical natural language processing (NLP). In this course you will learn the basic linguistic principals underlying NLP, as well as how to write regular expressions and handle text data in R. You will also learn practical techniques for text processing to be able to extract information from clinical notes.  Finally, you will have a chance to put your skills to the test with a real-world practical application where you develop text processing algorithms to identify diabetic complications from clinical notes. You will complete this work using a free, online computational environment for data science hosted by our Industry Partner Google Cloud.",12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,3341
2,/learn/machine-learning-with-python,Machine Learning with Python,IBM,4.7,510028,10738,1813,"This course dives into the basics of machine learning using an approachable, and well-known programming language, Python. In this course, we will be reviewing two main components:
First, you will be learning about the purpose of Machine Learning and where it applies to the real world. 
Second, you will get a general overview of Machine Learning topics such as supervised vs unsupervised learning,  model evaluation, and Machine Learning algorithms. 

In this course, you practice with real-life examples of Machine learning and see how it affects society in ways you may not have guessed!

By just putting in a few hours a week for the next few weeks, this is what you’ll get.
1) New skills to add to your resume, such as regression, classification, clustering, sci-kit learn and SciPy 
2) New projects that you can add to your portfolio, including cancer detection, predicting economic trends, predicting customer churn, recommendation engines, and many more.
3) And a certificate in machine learning to prove your competency, and share it anywhere you like online or offline, such as LinkedIn profiles and social media.

If you choose to take this course and earn the Coursera course certificate, you will also earn an IBM digital badge upon successful completion of the course.",22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,21.0,17.0,13.0,0,199048
3,/learn/material-informatics,Materials Data Sciences and Informatics,Georgia Institute of Technology,4.4,9147,256,72,"This course aims to provide a succinct overview of the emerging discipline of Materials Informatics at the intersection of materials science, computational science, and information science. Attention is drawn to specific opportunities afforded by this new field in accelerating materials development and deployment efforts. A particular emphasis is placed on materials exhibiting hierarchical internal structures spanning multiple length/structure scales and the impediments involved in establishing invertible process-structure-property (PSP) linkages for these materials. More specifically, it is argued that modern data sciences (including advanced statistics, dimensionality reduction, and formulation of metamodels) and innovative cyberinfrastructure tools (including integration platforms, databases, and customized tools for enhancement of collaborations among cross-disciplinary team members) are likely to play a critical and pivotal role in addressing the above challenges.",9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,11573
4,/learn/complete-reinforcement-learning-system,A Complete Reinforcement Learning System (Capstone),University of Alberta,4.7,24627,464,95,"In this final course, you will put together your knowledge from Courses 1, 2 and 3 to implement a complete RL solution to a problem. This capstone will let you see how each component---problem formulation, algorithm selection, parameter selection and representation design---fits together into a complete solution, and how to make appropriate choices when deploying RL in the real world. This project will require you to implement both the environment to stimulate your problem, and a control agent with Neural Network function approximation. In addition, you will conduct a scientific study of your learning system to develop your ability to assess the robustness of RL agents. To use RL in the real world, it is critical to (a) appropriately formalize the problem as an MDP, (b) select appropriate algorithms, (c ) identify what choices in your implementation will have large impacts on performance and (d) validate the expected behaviour of your algorithms. This capstone is valuable for anyone who is planning on using RL to solve real problems.To be successful in this course, you will need to have completed Courses 1, 2, and 3 of this Specialization or the equivalent.

By the end of this course, you will be able to: 

Complete an RL solution to a problem, starting from problem formulation, appropriate algorithm selection and implementation and empirical study into the effectiveness of the solution.",23,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,1,11701
5,/learn/intro-to-deep-learning,Introduction to Deep Learning,HSE University,4.6,197219,1743,405,"The goal of this course is to give learners basic understanding of modern neural networks and their applications in computer vision and natural language understanding. The course starts with a recap of linear models and discussion of stochastic optimization methods that are crucial for training deep neural networks. Learners will study all popular building blocks of neural networks including fully connected layers, convolutional and recurrent layers. Learners will use these building blocks to define complex modern architectures in TensorFlow and Keras frameworks. In the course project learner will implement deep neural network for the task of image captioning which solves the problem of giving a text description for an input image.

The prerequisites for this course are: 
1) Basic knowledge of Python.
2) Basic linear algebra and probability.

Please note that this is an advanced course and we assume basic knowledge of machine learning. You should understand:
1) Linear regression: mean squared error, analytical solution.
2) Logistic regression: model, cross-entropy loss, class probability estimation.
3) Gradient descent for linear models. Derivatives of MSE and cross-entropy loss functions.
4) The problem of overfitting.
5) Regularization for linear models.

Do you have technical problems? Write to us: coursera@hse.ru",34,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,34.0,20.0,29.0,1,157741
6,/learn/response-surfaces-mixtures-model-building,"Response Surfaces, Mixtures, and Model Building",Arizona State University,4.6,7269,38,11,"Factorial experiments are often used in factor screening.; that is, identify the subset of factors in a process or system that are of primary important to the response. Once the set of important factors are identified interest then usually turns to optimization; that is, what levels of the important factors produce the best values of the response.  This course provides design and optimization tools to answer that questions using the response surface framework.  Other related topics include design and analysis of computer experiments, experiments with mixtures, and experimental strategies to reduce the effect of uncontrollable factors on unwanted variability in the response.",13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,1812
7,/learn/clinical-data-management,Data Management for Clinical Research,Vanderbilt University,4.7,94363,997,317,"This course presents critical concepts and practical methods to support planning, collection, storage, and dissemination of data in clinical research.Understanding and implementing solid data management principles is critical for any scientific domain. Regardless of your current (or anticipated) role in the research enterprise, a strong working knowledge and skill set in data management principles and practice will increase your productivity and improve your science. Our goal is to use these modules to help you learn and practice this skill set. 

This course assumes very little current knowledge of technology other than how to operate a web browser. We will focus on practical lessons, short quizzes, and hands-on exercises as we explore together best practices for data management.",17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,17.0,32.0,1,61693
8,/learn/experimentation,Experimentation for Improvement,McMaster University,4.8,17688,783,207,"We are always using experiments to improve our lives, our community, and our work. Are you doing it efficiently? Or are you (incorrectly) changing one thing at a time and hoping for the best? In this course, you will learn how to plan efficient experiments - testing with many variables. Our goal is to find the best results using only a few experiments. A key part of the course is how to optimize a system.

We use simple tools: starting with fast calculations by hand, then we show how to use FREE software. 

The course comes with slides, transcripts of all lectures, subtitles (English, Spanish and Portuguese; some Chinese and French), videos, audio files, source code, and a free textbook. You get to keep all of it, all freely downloadable.

This course is for anyone working in a company, or wanting to make changes to their life, their community, their neighbourhood. You don't need to be a statistician or scientist! There's something for everyone in here. 
⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯
Over 1500 people have completed this online course. What have prior students said about this course?

""This definitely is one of the most fruitful courses I have participated at Coursera, considering the takeaways and implementations! And so far I finished 12 [courses].""

""Excelente curso, flexible y con suficiente material didáctico fácilmente digerible y cómodo. No importa si se tiene pocas bases matemáticas o estadísticas, el curso proporciona casi toda explicación necesaria para un entendimiento alto.""

""I wish I had enrolled in your course years ago -- it would have saved us a lot of time in optimizing experimental conditions."" Jason Eriksen, 3 Jan 2017

""Interesting and developing both analytical and creative thinking. The lecturer took care to bring lots of real live examples which are fun to analyze."" 20 February 2016.

""... love your style of presentation, and the examples you took from everyday life to explain things. It is very difficult to make such a mathematical course accessible and comprehensible to this wide a variety of people!""
⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯",13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0,,11.0,1,30541
9,/learn/computer-simulations,Computer Simulations,"University of California, Davis",4.7,9628,38,10,"Big data and artificial intelligence get most of the press about computational social science, but maybe the most complex aspect of it refers to using computational tools to explore and develop social science theory. This course shows how computer simulations are being used to explore the realm of what is theoretically possible. Computer simulations allow us to study why societies are the way they are, and to dream about the world we would like to live in. This can be as intuitive as playing a video game. Much like the well-known video game SimCity is used to build and manage an artificial city, we use agent-based models to grow and study artificial societies. Without hurting anyone in the real world, computer simulations allow us explore how to make the world a better place. We play hands-on with several practical computer simulation models and explore how we can combine hypothetical models with real world data. Finally, you will program a simple artificial society yourself, bottom-up. This will allow you to feel the complexity that arises when designing social systems, while at the same time experiencing the ease with which our new computational tools allow us to pursue such daunting endeavors.",13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,3881
